Country,Fuel Type,Car Type,Car Brand,Car Name
Japan,Petrol,SUV,Toyota,Fortuner
Japan,Diesel,MPV,Maruti Suzuki,Ertiga
Japan,Petrol,Sedan,Toyota,Camry
Japan,Hybrid,SUV,Toyota,RAV4
Japan,Diesel,Hatchback,Toyota,Yaris
Japan,Electric,Sedan,Toyota,Prius
Japan,Petrol,MPV,Toyota,Innova Crysta
Japan,Hybrid,Sedan,Toyota,Avalon Hybrid
Japan,Petrol,Coupe,Toyota,86
Japan,Diesel,SUV,Toyota,Land Cruiser
Japan,Hybrid,Hatchback,Toyota,Corolla Hybrid
Japan,Electric,SUV,Toyota,bZ4X
Japan,Petrol,SUV,Toyota,Harrier
Japan,Hybrid,Sedan,Toyota,Crown
Japan,Electric,Compact,Toyota,C-HR EV
Japan,Diesel,Truck,Toyota,Hilux
Japan,Hybrid,Crossover,Toyota,Venza
Japan,Petrol,Crossover,Toyota,Rush
Japan,Hybrid,MPV,Toyota,Estima Hybrid
Japan,Diesel,SUV,Toyota,Innova Hycross
Japan,Petrol,Hatchback,Toyota,Wigo
Japan,Hybrid,Sedan,Toyota,Corolla Axio
Japan,Electric,MPV,Toyota,Proace Verso Electric
Japan,Petrol,Coupe,Toyota,Supra
Japan,Hybrid,SUV,Toyota,Urban Cruiser Hyryder
Japan,Petrol,Sedan,Toyota,Yaris Ativ
Japan,Diesel,Truck,Toyota,Dyna
Japan,Petrol,Sedan,Toyota,Century
Japan,Hybrid,SUV,Toyota,RAV4 Prime
Japan,Petrol,Sports,Toyota,GR Yaris
Japan,Diesel,Commercial,Toyota,Coaster
UK,Petrol,Coupe,Aston Martin,DB11
UK,Petrol,Convertible,Aston Martin,Vantage Roadster
UK,Petrol,Sports,Aston Martin,DBS Superleggera
UK,Petrol,Grand Tourer,Aston Martin,DBX
UK,Hybrid,Hypercar,Aston Martin,Valhalla
UK,Petrol,Grand Tourer,McLaren,GT
UK,Petrol,Sports Car,McLaren,765LT
UK,Hybrid,Supercar,McLaren,Artura
UK,Petrol,Track Focused,McLaren,Senna
UK,Petrol,Open Top,McLaren,Elva
UK,Petrol,Supercar,McLaren,570S
UK,Petrol,Coupe,McLaren,620R
UK,Hybrid,Supercar,McLaren,P1
UK,Petrol,Supercar,McLaren,F1
UK,Petrol,Sports Car,McLaren,540C
UK,Petrol,Luxury Sedan,Rolls-Royce,Ghost
UK,Petrol,Coupe,Rolls-Royce,Wraith
UK,Petrol,Convertible,Rolls-Royce,Dawn
UK,Petrol,Luxury SUV,Rolls-Royce,Cullinan
UK,Electric,Concept,Rolls-Royce,Spectre
UK,Petrol,Luxury Sedan,Bentley,Flying Spur
UK,Petrol,Grand Tourer,Bentley,Bentayga
UK,Petrol,Coupe,Bentley,Continental GT
UK,Petrol,Convertible,Bentley,Continental GTC
UK,Hybrid,SUV,Bentley,Bentayga Hybrid
UK,Petrol,Sedan,Jaguar,XE
UK,Petrol,Coupe,Jaguar,F-Type
UK,Diesel,SUV,Jaguar,F-Pace
UK,Electric,SUV,Jaguar,I-Pace
UK,Petrol,Sedan,Jaguar,XF
UK,Diesel,Estate,Jaguar,XF Sportbrake
UK,Petrol,Convertible,Jaguar,XK
UK,Hybrid,SUV,Jaguar,E-Pace
UK,Petrol,Sports Car,Jaguar,XKR
UK,Petrol,Luxury Sedan,Jaguar,XJ
UK,Diesel,SUV,Land Rover,Defender
UK,Petrol,SUV,Range Rover,Evoque
UK,Hybrid,SUV,Range Rover,Sport PHEV
UK,Diesel,SUV,Land Rover,Discovery
UK,Electric,SUV,Range Rover,Velar Electric
UK,Petrol,SUV,Range Rover,Range Rover
UK,Diesel,SUV,Land Rover,Discovery Sport
UK,Hybrid,SUV,Range Rover,Range Rover Evoque PHEV
UK,Petrol,SUV,Land Rover,Freelander
UK,Diesel,SUV,Range Rover,Range Rover Velar
UK,Petrol,Hatchback,Mini,Cooper
UK,Electric,Hatchback,Mini,Cooper SE
UK,Petrol,Convertible,Mini,Cooper Convertible
UK,Petrol,SUV,Mini,Countryman
UK,Diesel,Hatchback,Mini,Cooper D
Germany,Petrol,Sedan,BMW,3 Series
Germany,Electric,SUV,BMW,iX3
Germany,Diesel,Wagon,BMW,5 Series Touring
Germany,Hybrid,Sedan,BMW,7 Series Hybrid
Germany,Petrol,Coupe,BMW,4 Series
Germany,Petrol,Hatchback,BMW,1 Series
Germany,Diesel,SUV,BMW,X5
Germany,Hybrid,Sedan,BMW,5 Series Hybrid
Germany,Petrol,SUV,BMW,X3
Germany,Electric,Hatchback,BMW,i3
Germany,Petrol,Coupe,BMW,2 Series
Germany,Diesel,Sedan,BMW,7 Series
Germany,Hybrid,SUV,BMW,X1 Hybrid
Germany,Petrol,SUV,BMW,X7
Germany,Electric,SUV,BMW,iX
Germany,Petrol,Convertible,BMW,Z4
Germany,Electric,Sedan,BMW,i4
Germany,Petrol,Coupe,BMW,8 Series
Germany,Diesel,Wagon,BMW,3 Series Touring
Germany,Hybrid,SUV,BMW,X6 Hybrid
Germany,Petrol,SUV,BMW,X4
Germany,Electric,SUV,BMW,iX3
Germany,Diesel,Sedan,BMW,6 Series Gran Turismo
Germany,Petrol,SUV,BMW,X2
Germany,Hybrid,SUV,BMW,X5 Hybrid
Germany,Hybrid,Sedan,BMW,3 Series Hybrid
Germany,Petrol,Hatchback,BMW,2 Series Gran Coupe
Germany,Electric,SUV,BMW,iX5
Germany,Petrol,Coupe,BMW,M4
Germany,Diesel,SUV,BMW,X4
Germany,Hybrid,SUV,BMW,X3 Hybrid
Germany,Petrol,Sedan,BMW,5 Series
Germany,Petrol,Convertible,BMW,4 Series Convertible
Germany,Diesel,Wagon,BMW,5 Series Touring
Germany,Electric,Hatchback,BMW,iX1
Germany,Petrol,Sedan,Mercedes-Benz,C-Class
Germany,Diesel,SUV,Mercedes-Benz,GLC
Germany,Hybrid,SUV,Mercedes-Benz,GLC Hybrid
Germany,Petrol,Coupe,Mercedes-Benz,E-Class Coupe
Germany,Diesel,Wagon,Mercedes-Benz,E-Class Estate
Germany,Electric,SUV,Mercedes-Benz,EQS
Germany,Petrol,Convertible,Mercedes-Benz,S-Class Cabriolet
Germany,Hybrid,Sedan,Mercedes-Benz,S-Class Hybrid
Germany,Petrol,SUV,Mercedes-Benz,GLS
Germany,Electric,Sedan,Mercedes-Benz, EQS
Germany,Diesel,SUV,Mercedes-Benz,GLA
Germany,Hybrid,SUV,Mercedes-Benz,GLE Hybrid
Germany,Petrol,Coupe,Mercedes-Benz,CLA Coupe
Germany,Diesel,Wagon,Mercedes-Benz,GLC Estate
Germany,Electric,SUV,Mercedes-Benz,EQG
Germany,Petrol,Convertible,Mercedes-Benz,SL-Class
Germany,Hybrid,Sedan,Mercedes-Benz,A-Class Hybrid
Germany,Petrol,SUV,Mercedes-Benz,GLE
Germany,Electric,SUV,Mercedes-Benz,EQC
Germany,Diesel,Sedan,Mercedes-Benz,S-Class
Germany,Petrol,Sedan,Mercedes-Benz,A-Class
Germany,Diesel,SUV,Mercedes-Benz,GLB
Germany,Hybrid,SUV,Mercedes-Benz,GLS Hybrid
Germany,Petrol,Coupe,Mercedes-Benz,S-Class Coupe
Germany,Diesel,Wagon,Mercedes-Benz,C-Class Estate
Germany,Electric,SUV,Mercedes-Benz,EQA
Germany,Petrol,Convertible,Mercedes-Benz,E-Class Cabriolet
Germany,Hybrid,Sedan,Mercedes-Benz,C-Class Hybrid
Germany,Petrol,SUV,Mercedes-Benz,GLB
Germany,Electric,Sedan,Mercedes-Benz,CLS-Class
Germany,Diesel,SUV,Mercedes-Benz, GLE Coupe
Germany,Hybrid,SUV,Mercedes-Benz, GLS Hybrid
Germany,Petrol,Coupe,Mercedes-Benz, AMG GT
Germany,Diesel,Wagon,Mercedes-Benz, E-Class All-Terrain
Germany,Electric,SUV,Mercedes-Benz, EQB
Germany,Petrol,Convertible,Mercedes-Benz, C-Class Cabriolet
Germany,Hybrid,Sedan,Mercedes-Benz, E-Class Hybrid
Germany,Petrol,SUV,Mercedes-Benz, G-Class
Germany,Electric,SUV,Mercedes-Benz, EQE
Germany,Diesel,Sedan,Mercedes-Benz, S-Class
Germany,Petrol,Sedan,Mercedes-Benz,CLA
Germany,Diesel,SUV,Mercedes-Benz,GLC Coupe
Germany,Hybrid,SUV,Mercedes-Benz,GLC Hybrid Coupe
Germany,Petrol,Coupe,Mercedes-Benz,CLS-Class Coupe
Germany,Diesel,Wagon,Mercedes-Benz,C-Class All-Terrain
Germany,Electric,SUV,Mercedes-Benz,EQS SUV
Germany,Petrol,Convertible,Mercedes-Benz,S-Class Cabriolet
Germany,Hybrid,Sedan,Mercedes-Benz,A-Class Hybrid
Germany,Petrol,SUV,Mercedes-Benz,GLA
Germany,Electric,Sedan,Mercedes-Benz,Maybach EQS
Germany,Diesel,Sedan,Audi,A4
Germany,Petrol,SUV,Audi,Q5
Germany,Hybrid,SUV,Audi,Q7 Hybrid
Germany,Petrol,Coupe,Audi,A5 Coupe
Germany,Diesel,Wagon,Audi,A6 Avant
Germany,Electric,SUV,Audi,e-tron
Germany,Petrol,Convertible,Audi,A3 Cabriolet
Germany,Hybrid,Sedan,Audi,A6 Hybrid
Germany,Petrol,SUV,Audi,Q3
Germany,Electric,Sedan,Audi,e-tron GT
Germany,Petrol,Sedan,Audi,A6
Germany,Diesel,SUV,Audi,Q8
Germany,Hybrid,SUV,Audi,Q5 Hybrid
Germany,Petrol,Coupe,Audi,TT Coupe
Germany,Diesel,Wagon,Audi,A4 Allroad
Germany,Electric,SUV,Audi,Q4 e-tron
Germany,Petrol,Convertible,Audi,A5 Cabriolet
Germany,Hybrid,Sedan,Audi,A8 Hybrid
Germany,Petrol,SUV,Audi,e-tron Sportback
Germany,Electric,Sedan,Audi,A7 e-tron
Germany,Petrol,Sedan,Audi,A3
Germany,Diesel,SUV,Audi,Q7
Germany,Hybrid,Sedan,Audi,A7 Hybrid
Germany,Petrol,Coupe,Audi,S5 Coupe
Germany,Diesel,Wagon,Audi,A6 Allroad
Germany,Electric,SUV,Audi,e-tron S
Germany,Petrol,Convertible,Audi,A4 Cabriolet
Germany,Hybrid,SUV,Audi,Q3 Hybrid
Germany,Petrol,SUV,Audi,A1
Germany,Electric,Sedan,Audi,e-tron GT
Germany,Petrol,Sedan,Audi,A8
Germany,Diesel,SUV,Audi,Q5
Germany,Hybrid,SUV,Audi,Q8 Hybrid
Germany,Petrol,Coupe,Audi,S4 Coupe
Germany,Diesel,Wagon,Audi,A6 Allroad
Germany,Electric,SUV,Audi,Q4 Sportback e-tron
Germany,Petrol,Convertible,Audi,TT Roadster
Germany,Hybrid,Sedan,Audi,A6 Hybrid
Germany,Petrol,SUV,Audi,A2
Germany,Electric,Sedan,Audi,A8 e-tron
Germany,Petrol,Hatchback,Audi,A1 Sportback
Germany,Diesel,SUV,Audi,e-tron S Sportback
Germany,Hybrid,SUV,Audi,Q7 Hybrid
Germany,Petrol,Coupe,Audi,A5 Sportback
Germany,Diesel,Wagon,Audi,A6 Avant
Germany,Electric,SUV,Audi,Q2 e-tron
Germany,Petrol,Convertible,Audi,S3 Cabriolet
Germany,Hybrid,Sedan,Audi,A8 Hybrid
Germany,Petrol,SUV,Audi,RS Q8
Germany,Electric,Sedan,Audi,A9 e-tron
Germany,Petrol,Sports Car,Porsche,911
Germany,Electric,Sports Car,Porsche,Taycan
Germany,Petrol,SUV,Porsche,Cayenne
Germany,Hybrid,SUV,Porsche,Cayenne E-Hybrid
Germany,Petrol,Coupe,Porsche,718 Cayman
Germany,Electric,SUV,Porsche,Macan Electric
Germany,Petrol,Convertible,Porsche,718 Boxster
Germany,Hybrid,Sports Car,Porsche,911 Turbo S E-Hybrid
Germany,Petrol,Sedan,Porsche,Panamera
Germany,Electric,Sedan,Porsche,Taycan Cross Turismo
Sweden,Diesel,SUV,Volvo,XC90
Sweden,Petrol,SUV,Volvo,XC60
Sweden,Hybrid,SUV,Volvo,XC40 Recharge
Sweden,Petrol,Sedan,Volvo,S60
Sweden,Electric,SUV,Volvo,C40 Recharge
Sweden,Petrol,Station Wagon,Volvo,V60 Cross Country
Sweden,Hybrid,Sedan,Volvo,S90 Recharge
Sweden,Petrol,Hatchback,Volvo,V40
Sweden,Electric,Sedan,Volvo,XC60 Recharge
Sweden,Diesel,Station Wagon,Volvo,V90
Italy,Petrol,Sports Car,Ferrari,488 GTB
Italy,Petrol,Sports Car,Ferrari,812 Superfast
Italy,Petrol,Sports Car,Ferrari,Portofino
Italy,Petrol,Sports Car,Ferrari,F8 Tributo
Italy,Petrol,Sports Car,Ferrari,458 Italia
Italy,Petrol,Sports Car,Ferrari,488 Pista
Italy,Petrol,Sports Car,Ferrari,Roma
Italy,Petrol,Sports Car,Ferrari,California T
Italy,Petrol,Sports Car,Ferrari,LaFerrari
Italy,Petrol,Sports Car,Ferrari,Enzo Ferrari
Italy,Petrol,Sports Car,Ferrari,SF90 Stradale
Italy,Petrol,Sports Car,Ferrari,488 Pista Spider
Italy,Petrol,Sports Car,Ferrari,F430
Italy,Petrol,Sports Car,Ferrari,F12berlinetta
Italy,Petrol,Sports Car,Ferrari,458 Spider
Italy,Petrol,Sports Car,Ferrari,F40
Italy,Petrol,Sports Car,Ferrari,599 GTB Fiorano
Italy,Petrol,Sports Car,Ferrari,F355
Italy,Petrol,Sports Car,Ferrari,360 Modena
Italy,Petrol,Sports Car,Ferrari,Testarossa
Italy,Petrol,Sports Car,Lamborghini,Aventador
Italy,Petrol,Sports Car,Lamborghini,Huracán
Italy,Petrol,Sports Car,Lamborghini,Urus
Italy,Petrol,Sports Car,Lamborghini,Gallardo
Italy,Petrol,Sports Car,Lamborghini,Murciélago
Italy,Petrol,Sports Car,Lamborghini,Diablo
Italy,Petrol,Sports Car,Lamborghini,Countach
Italy,Petrol,Sports Car,Lamborghini,Reventón
Italy,Petrol,Sports Car,Lamborghini,Centenario
Italy,Petrol,Sports Car,Lamborghini,Sián FKP 37
USA,Electric,Sedan,Tesla,Model S
USA,Electric,Sedan,Tesla,Model 3
