Country,Fuel Type,Car Type,Car Brand,Car Name
USA,Electric,SUV,Tesla,Model X
USA,Electric,SUV,Tesla,Model Y
USA,Electric,Sedan,Tesla,Model S Plaid
USA,Electric,Sedan,Tesla,Model 3 Long Range
USA,Electric,SUV,Tesla,Model X Plaid
USA,Electric,SUV,Tesla,Model Y Long Range
USA,Electric,Sedan,Tesla,Model S Long Range
USA,Electric,Sedan,Tesla,Model 3 Performance
India,Diesel,SUV,Tata,Harrier
India,Petrol,Hatchback,Tata,Altroz
India,Diesel,SUV,Tata,Nexon
India,Petrol,Sedan,Tata,Tigor
India,Diesel,Sedan,Tata,Tiago
India,Electric,SUV,Tata,Nexon EV
India,Petrol,SUV,Tata,Safari
India,Diesel,Pickup,Tata,Xenon
India,Petrol,Hatchback,Tata,Punch
India,Electric,Sedan,Tata,Tigor EV
India,Petrol,Hatchback,Tata,Tiago
India,Diesel,Sedan,Tata,Zest
India,Petrol,SUV,Tata,Nexon
India,Electric,Hatchback,Tata,Altroz EV
India,Petrol,SUV,Tata,Harrier
India,Diesel,Pickup,Tata,Xenon
India,Petrol,Hatchback,Tata,Altroz
India,Diesel,SUV,Tata,Safari
India,Petrol,Sedan,Tata,Tigor
India,Electric,SUV,Tata,Gravitas EV
India,Diesel,SUV,Mahindra,Scorpio
India,Diesel,SUV,Mahindra,XUV500
India,Diesel,SUV,Mahindra,Thar
India,Diesel,SUV,Mahindra,Bolero
India,Diesel,SUV,Mahindra,TUV300
India,Electric,SUV,Mahindra,eKUV100
India,Diesel,Truck,Mahindra,Bolero Pickup
India,Diesel,SUV,Mahindra,XUV300
India,Petrol,Hatchback,Mahindra,KUV100 NXT
India,Diesel,SUV,Mahindra,Marazzo
India,Diesel,Truck,Mahindra,Scorpio Pik-Up
India,Diesel,Truck,Mahindra,Bolero Camper
India,Diesel,SUV,Mahindra,XUV700
India,Diesel,SUV,Mahindra,Alturas G4
India,Diesel,Truck,Mahindra,Thar 2020
India,Electric,SUV,Mahindra,XUV300 Electric
India,Diesel,Truck,Mahindra,Bolero Maxitruck Plus
India,Petrol,Hatchback,Mahindra,e2o Plus
India,Diesel,Truck,Mahindra,Supro Minitruck
India,Diesel,Truck,Mahindra,Supro Maxitruck
Japan,Petrol,Sports Car,Nissan,GT-R35
Japan,Petrol,Sports Car,Nissan,GT-R34
Japan,Petrol,Sports Car,Nissan,GT-R32
Japan,Petrol,Sports Car,Nissan,GT-R33
Japan,Petrol,Sedan,Nissan,Skyline
Japan,Petrol,Hatchback,Nissan,Pulsar
Japan,Diesel,SUV,Nissan,Qashqai
Japan,Petrol,Sedan,Nissan,Teana
Japan,Electric,Hatchback,Nissan,Note e-Power
Japan,Petrol,SUV,Nissan,X-Trail
Japan,Petrol,Hatchback,Suzuki,Swift
Japan,Petrol,SUV,Suzuki,Vitara
Japan,Petrol,Sedan,Suzuki,Ciaz
Japan,Petrol,Hatchback,Suzuki,Baleno
Japan,Diesel,SUV,Suzuki,S-Cross
Japan,Petrol,Hatchback,Suzuki,Ignis
Japan,Petrol,Sedan,Suzuki,Dzire
Japan,Petrol,Hatchback,Suzuki,Celerio
Japan,Diesel,Hatchback,Suzuki,Baleno
Japan,Petrol,Hatchback,Suzuki,S-Presso
Japan,Petrol,SUV,Suzuki,Jimny
Japan,Petrol,Hatchback,Suzuki,Alto
Japan,Petrol,SUV,Suzuki,Escudo
Japan,Petrol,Hatchback,Suzuki,Wagon R
Japan,Petrol,Sedan,Suzuki,Baleno
Japan,Diesel,SUV,Suzuki,Grand Vitara
Japan,Petrol,Hatchback,Suzuki,Splash
Japan,Petrol,Sedan,Suzuki,Kizashi
Japan,Petrol,Hatchback,Suzuki,Swift Sport
Japan,Petrol,SUV,Suzuki,Ignis
USA,Petrol,SUV,Jeep,Wrangler
USA,Petrol,SUV,Jeep,Grand Cherokee
USA,Petrol,SUV,Jeep,Cherokee
USA,Petrol,SUV,Jeep,Compass
USA,Diesel,SUV,Jeep,Renegade
USA,Petrol,SUV,Jeep,Commander
USA,Petrol,SUV,Jeep,Liberty
USA,Petrol,SUV,Jeep,Gladiator
USA,Petrol,SUV,Jeep,Grand Wagoneer
USA,Petrol,SUV,Jeep,Wagoneer
China,Electric,Sedan,BYD,Tang
China,Electric,SUV,BYD,Han
China,Electric,Sedan,BYD,Yuan
China,Electric,Hatchback,BYD, Qin
China,Electric,SUV,BYD, Song
China,Electric,SUV,BYD,Tang EV
China,Electric,Sedan,BYD, e6
China,Electric,Hatchback,BYD, e2
China,Electric,Van,BYD, e5
China,Electric,SUV,BYD,Tang 600
UK,Petrol,SUV,MG,ZS
UK,Electric,SUV,MG,ZS EV
UK,Petrol,Hatchback,MG,MG3
UK,Petrol,SUV,MG,HS
UK,Petrol,Sedan,MG,5
UK,Electric,Hatchback,MG,MG5 EV
UK,Petrol,SUV,MG,ZS EV
UK,Petrol,Sedan,MG,MG6
UK,Electric,SUV,MG,Marvel R Electric
UK,Petrol,Hatchback,MG,MG3 2021
UK,Petrol,SUV,MG,EZS
UK,Electric,SUV,MG,Marvel X Electric
UK,Petrol,Hatchback,MG,MG3 Xross
UK,Petrol,SUV,MG,MG One
UK,Petrol,Sedan,MG,7
UK,Electric,Hatchback,MG,Cyberster
UK,Petrol,SUV,MG,GS
UK,Petrol,Sedan,MG,6 Plug-in Hybrid
UK,Electric,SUV,MG,Marvel R Electric
UK,Petrol,Hatchback,MG,3 Trophy
USA,Petrol,Sedan,Chevrolet,Malibu
USA,Petrol,SUV,Chevrolet,Traverse
USA,Petrol,SUV,Chevrolet,Equinox
USA,Petrol,SUV,Chevrolet,Tahoe
USA,Petrol,SUV,Chevrolet,Suburban
USA,Petrol,Sedan,Chevrolet,Cruze
USA,Electric,Sedan,Chevrolet,Bolt EV
USA,Petrol,Truck,Chevrolet,Silverado
USA,Petrol,SUV,Chevrolet,Blazer
USA,Petrol,SUV,Chevrolet,Trailblazer
USA,Petrol,SUV,Chevrolet,Colorado
USA,Petrol,SUV,Chevrolet,Trax
USA,Petrol,Truck,Chevrolet,Cheyenne
USA,Petrol,Sedan,Chevrolet,Impala
USA,Petrol,SUV,Chevrolet,Avalanche
USA,Petrol,SUV,Chevrolet,Tracker
USA,Petrol,Truck,Chevrolet,S-10
USA,Petrol,Truck,Chevrolet,Apache
USA,Petrol,SUV,Chevrolet,Captiva
USA,Petrol,SUV,Chevrolet,Uplander
USA,Petrol,Truck,Chevrolet,C10
USA,Petrol,SUV,Chevrolet,Orlando
USA,Petrol,Sedan,Chevrolet,Sonic
USA,Petrol,Truck,Chevrolet,Silverado HD
USA,Petrol,Truck,Chevrolet,Avalanche
USA,Petrol,Truck,Chevrolet,Camaro SS
USA,Petrol,Sedan,Chevrolet,Cobalt
USA,Petrol,Truck,Chevrolet,Express
USA,Petrol,SUV,Chevrolet,Equinox LT
USA,Petrol,SUV,Chevrolet,Blazer RS
USA,Petrol,Truck,Chevrolet,Trailblazer SS
USA,Petrol,SUV,Chevrolet,Suburban LT
USA,Petrol,Truck,Chevrolet,Silverado Trail Boss
USA,Petrol,Sedan,Chevrolet,Cruze LT
USA,Petrol,Truck,Chevrolet,Silverado High Country
USA,Petrol,SUV,Chevrolet,Traverse RS
USA,Petrol,Truck,Chevrolet,Colorado ZR2
USA,Petrol,SUV,Chevrolet,Tahoe Premier
USA,Petrol,Truck,Chevrolet,Silverado Custom
USA,Petrol,Sedan,Dodge,Charger
USA,Petrol,SUV,Dodge,Durango
USA,Petrol,Sedan,Dodge,Challenger
USA,Petrol,Truck,Dodge,RAM
USA,Petrol,SUV,Dodge,Journey
USA,Petrol,Sedan,Dodge,Avenger
USA,Petrol,Truck,Dodge,Dakota
USA,Petrol,SUV,Dodge,Nitro
USA,Petrol,Truck,Dodge,RAM 1500
USA,Petrol,Sedan,Dodge,Neon
USA,Petrol,Truck,Dodge,RAM 2500
USA,Petrol,SUV,Dodge,Caravan
USA,Petrol,Truck,Dodge,RAM 3500
USA,Petrol,Sedan,Dodge,Caliber
USA,Petrol,Truck,Dodge,RAM 4500
USA,Petrol,Truck,Dodge,RAM 5500
USA,Petrol,Sedan,Dodge,Intrepid
USA,Petrol,SUV,Dodge,Grand Caravan
USA,Petrol,SUV,Dodge,Journey RT
USA,Petrol,Sedan,Dodge,Dart
USA,Petrol,Truck,Dodge,RAM 6500
USA,Petrol,Truck,Dodge,RAM 7500
USA,Petrol,Sedan,Dodge,Stratus
USA,Petrol,Truck,Dodge,RAM 8500
USA,Petrol,SUV,Dodge,Durango SRT
USA,Petrol,Truck,Dodge,RAM 1500 Classic
USA,Petrol,Truck,Dodge,RAM 2500 Power Wagon
USA,Petrol,SUV,Dodge,Charger SRT
USA,Petrol,Sedan,Dodge,Avenger RT
USA,Petrol,Truck,Dodge,RAM 3500 HD
USA,Petrol,SUV,Dodge,Nitro SXT
USA,Petrol,Truck,Dodge,RAM 4500 Chassis Cab
USA,Petrol,Sedan,Dodge,Challenger SRT
USA,Petrol,Truck,Dodge,RAM 5500 Chassis Cab
USA,Petrol,SUV,Dodge,Durango GT
USA,Petrol,Truck,Dodge,RAM 6500 Chassis Cab
USA,Petrol,Sedan,Dodge,Neon SRT
USA,Petrol,Truck,Dodge,RAM 7500 Chassis Cab
USA,Petrol,SUV,Dodge,Caravan SXT
USA,Petrol,Truck,Dodge,RAM 8500 Chassis Cab
USA,Petrol,SUV,Dodge,Durango R/T
USA,Petrol,Truck,Dodge,RAM 1500 Rebel
USA,Petrol,Sedan,Dodge,Charger RT
USA,Petrol,Truck,Dodge,RAM 2500 Laramie
USA,Petrol,SUV,Dodge,Journey GT
USA,Petrol,Truck,Dodge,RAM 3500 Tradesman
USA,Petrol,SUV,Dodge,Durango Citadel
Germany,Petrol,Sedan,Volkswagen,Jetta
Germany,Petrol,Hatchback,Volkswagen,Golf
Germany,Diesel,SUV,Volkswagen,Tiguan
Germany,Petrol,SUV,Volkswagen,Touareg
Germany,Petrol,Hatchback,Volkswagen,Up
Germany,Diesel,Sedan,Volkswagen,Passat
Germany,Petrol,Convertible,Volkswagen,Beetle
Germany,Diesel,Station Wagon,Volkswagen,Golf Variant
Germany,Electric,Hatchback,Volkswagen,ID.3
Germany,Petrol,SUV,Volkswagen,T-Cross
Germany,Petrol,Convertible,Volkswagen,T-Roc Cabriolet
Germany,Petrol,Sedan,Volkswagen,Arteon
Germany,Petrol,SUV,Volkswagen,ID.4
Germany,Electric,Hatchback,Volkswagen,Golf ID.4
Germany,Petrol,Sedan,Volkswagen,Phaeton
Germany,Petrol,Hatchback,Volkswagen,Scirocco
Germany,Petrol,Sedan,Volkswagen,Passat CC
Germany,Petrol,Convertible,Volkswagen,Eos
Germany,Petrol,Sedan,Volkswagen,CC
Germany,Diesel,SUV,Volkswagen,Touareg R
Germany,Petrol,SUV,Volkswagen,Tiguan Allspace
Germany,Petrol,Convertible,Volkswagen,Beetle Cabriolet
Germany,Electric,Hatchback,Volkswagen,Up ID.3
Germany,Petrol,SUV,Volkswagen,T-Roc
Germany,Diesel,Station Wagon,Volkswagen,Golf Variant R
Germany,Electric,Hatchback,Volkswagen,Golf ID.4 R
Germany,Petrol,Sedan,Volkswagen,Passat R
Germany,Petrol,Hatchback,Volkswagen,Golf GTI
Germany,Diesel,SUV,Volkswagen,Tiguan R
Germany,Petrol,SUV,Volkswagen,Touareg V8
Germany,Petrol,Hatchback,Volkswagen,Up GTI
Germany,Petrol,Convertible,Volkswagen,T-Roc R
Germany,Petrol,Sedan,Volkswagen,Arteon R
Germany,Petrol,SUV,Volkswagen,T-Cross R
Germany,Petrol,Sedan,Volkswagen,Passat GT
Germany,Petrol,Hatchback,Volkswagen,Golf R
Germany,Diesel,SUV,Volkswagen,Touareg R-Line
Germany,Petrol,SUV,Volkswagen,Tiguan R-Line
Germany,Petrol,Hatchback,Volkswagen,Up R-Line
Germany,Electric,Hatchback,Volkswagen,Up ID.3 R-Line
Germany,Petrol,SUV,Volkswagen,T-Roc R-Line
Germany,Electric,Hatchback,Volkswagen,Golf ID.4 R-Line
Germany,Petrol,Sedan,Volkswagen,Passat R-Line
Germany,Petrol,Hatchback,Volkswagen,Golf GTI Clubsport
Germany,Diesel,SUV,Volkswagen,Tiguan R-Line
Germany,Petrol,SUV,Volkswagen,Touareg Black Edition
USA,Petrol,SUV,Ford,Escape
USA,Petrol,SUV,Ford,Explorer
USA,Petrol,SUV,Ford,Expedition
USA,Petrol,Truck,Ford,F-150
USA,Petrol,Sedan,Ford,Fusion
USA,Petrol,Hatchback,Ford,Fiesta
USA,Petrol,Truck,Ford,Ranger
USA,Petrol,SUV,Ford,EcoSport
USA,Petrol,SUV,Ford,Edge
USA,Petrol,Sedan,Ford,Taurus
USA,Petrol,Truck,Ford,Super Duty
USA,Petrol,SUV,Ford,Maverick
USA,Petrol,Sedan,Ford,Focus
USA,Petrol,SUV,Ford,Bronco Sport
USA,Petrol,SUV,Ford,Bronco
USA,Petrol,Sedan,Ford,Escort
USA,Petrol,Truck,Ford,F-250
USA,Petrol,Hatchback,Ford,Fusion
USA,Petrol,Truck,Ford,F-350
USA,Petrol,SUV,Ford,Excursion
USA,Petrol,Truck,Ford,F-450
USA,Petrol,SUV,Ford,Endeavour
USA,Petrol,Sedan,Ford,Fiesta
USA,Petrol,Truck,Ford,F-550
USA,Petrol,SUV,Ford,Edge ST
USA,Petrol,SUV,Ford,Escape ST
USA,Petrol,Truck,Ford,F-650
USA,Petrol,SUV,Ford,Explorer ST
USA,Petrol,SUV,Ford,Expedition Max
USA,Petrol,Truck,Ford,Ranger Raptor
USA,Petrol,SUV,Ford,EcoSport ST
USA,Petrol,Sedan,Ford,Focus ST
USA,Petrol,Truck,Ford,Super Duty F-250
USA,Petrol,SUV,Ford,Bronco Raptor
USA,Petrol,SUV,Ford,Mustang Mach-E
USA,Petrol,Sedan,Ford,Fusion ST
USA,Petrol,Truck,Ford,F-350 Super Duty
USA,Petrol,SUV,Ford,Flex
USA,Petrol,Truck,Ford,F-450 Super Duty
USA,Petrol,SUV,Ford,Explorer Timberline
USA,Petrol,Truck,Ford,F-650 Super Duty
USA,Petrol,SUV,Ford,Explorer Platinum
USA,Petrol,SUV,Ford,Expedition ST
USA,Petrol,Truck,Ford,Ranger Tremor
USA,Petrol,SUV,Ford,Endeavour Sport
USA,Petrol,Sedan,Ford,Focus RS
USA,Petrol,Truck,Ford,Super Duty F-350


